date,GE
2019-10-31,9.98
2019-10-30,10.11
2019-10-29,9.07
2019-10-28,9.07
2019-10-25,9.0
2019-10-24,8.95
2019-10-23,9.14
2019-10-22,9.06
2019-10-21,8.79
2019-10-18,8.96
2019-10-17,9.04
2019-10-16,8.9
2019-10-15,8.89
2019-10-14,8.72
2019-10-11,8.8
2019-10-10,8.45
2019-10-09,8.35
2019-10-08,8.28
2019-10-07,8.56
2019-10-04,8.57
2019-10-03,8.71
2019-10-02,8.51
2019-10-01,8.61
2019-09-30,8.94
2019-09-27,9.04
2019-09-26,9.02
2019-09-25,9.16
2019-09-24,8.97
2019-09-23,9.34
2019-09-20,9.37
2019-09-19,9.42
2019-09-18,9.38
2019-09-17,9.36
2019-09-16,9.38
2019-09-13,9.34
2019-09-12,9.25
2019-09-11,9.3499
2019-09-10,9.1301
2019-09-09,8.9503
2019-09-06,8.7006
2019-09-05,8.8005
2019-09-04,8.7905
2019-09-03,8.321
2019-08-30,8.2411
2019-08-29,8.1012
2019-08-28,7.9314
2019-08-27,7.9214
2019-08-26,8.0413
2019-08-23,7.9614
2019-08-22,8.1812
2019-08-21,8.1512
2019-08-20,8.371
2019-08-19,8.6606
2019-08-16,8.7805
2019-08-15,8.0013
2019-08-14,9.0202
2019-08-13,9.3399
2019-08-12,9.0402
2019-08-09,9.1401
2019-08-08,9.4798
2019-08-07,9.4498
2019-08-06,9.5597
2019-08-05,9.6496
2019-08-02,9.9892
2019-08-01,10.0691
2019-07-31,10.4387
2019-07-30,10.5086
2019-07-29,10.3688
2019-07-26,10.4986
2019-07-25,10.4187
2019-07-24,10.6685
2019-07-23,10.6385
2019-07-22,10.199
2019-07-19,10.0292
2019-07-18,10.0491
2019-07-17,9.9692
2019-07-16,10.3688
2019-07-15,10.2589
2019-07-12,10.3588
2019-07-11,10.0991
2019-07-10,10.189
2019-07-09,10.2389
2019-07-08,10.189
2019-07-05,10.4887
2019-07-03,10.5985
2019-07-02,10.6085
2019-07-01,10.6185
2019-06-28,10.4887
2019-06-27,10.3788
2019-06-26,10.249
2019-06-25,10.1991
2019-06-24,10.259
2019-06-21,10.4586
2019-06-20,10.6083
2019-06-19,10.3189
2019-06-18,10.3987
2019-06-17,10.0295
2019-06-14,10.2091
2019-06-13,10.289000000000001
2019-06-12,10.259
2019-06-11,10.0993
2019-06-10,10.0295
2019-06-07,9.9596
2019-06-06,9.8998
2019-06-05,9.8698
2019-06-04,9.9796
2019-06-03,9.5106
2019-05-31,9.4207
2019-05-30,9.4507
2019-05-29,9.3509
2019-05-28,9.3409
2019-05-24,9.4307
2019-05-23,9.5405
2019-05-22,9.8798
2019-05-21,9.9397
2019-05-20,9.8598
2019-05-17,9.9796
2019-05-16,10.1093
2019-05-15,10.2391
2019-05-14,10.2989
2019-05-13,9.8499
2019-05-10,10.1093
2019-05-09,10.0195
2019-05-08,10.1393
2019-05-07,10.0894
2019-05-06,10.4087
2019-05-03,10.4786
2019-05-02,10.2291
2019-05-01,10.0794
2019-04-30,10.1492
2019-04-29,9.7101
2019-04-26,9.5505
2019-04-25,9.1014
2019-04-24,9.301
2019-04-23,9.311
2019-04-22,9.301
2019-04-18,9.3309
2019-04-17,9.1014
2019-04-16,9.1213
2019-04-15,8.9617
2019-04-12,8.9816
2019-04-11,9.1014
2019-04-10,9.1413
2019-04-09,9.2012
2019-04-08,9.4706
2019-04-05,9.9896
2019-04-04,10.0095
2019-04-03,10.0794
2019-04-02,10.2191
2019-04-01,10.0794
2019-03-29,9.9696
2019-03-28,9.8698
2019-03-27,9.9397
2019-03-26,10.0794
2019-03-25,9.8598
2019-03-22,9.9596
2019-03-21,10.249
2019-03-20,10.1991
2019-03-19,10.1692
2019-03-18,10.1792
2019-03-15,9.9397
2019-03-14,10.279000000000002
2019-03-13,9.9995
2019-03-12,9.7401
2019-03-11,9.8798
2019-03-08,9.5604
2019-03-07,9.4207
2019-03-06,9.0818
2019-03-05,9.8594
2019-03-04,10.3479
2019-03-01,10.2382
2019-02-28,10.3578
2019-02-27,10.8463
2019-02-26,10.627
2019-02-25,10.3675
2019-02-22,9.7447
2019-02-21,9.6105
2019-02-20,9.6776
2019-02-19,9.7064
2019-02-15,9.668
2019-02-14,9.6201
2019-02-13,9.9363
2019-02-12,9.5626
2019-02-11,9.6105
2019-02-08,9.3997
2019-02-07,9.6393
2019-02-06,10.0321
2019-02-05,10.1855
2019-02-04,9.783
2019-02-01,9.7639
2019-01-31,9.7351
2019-01-30,8.7194
2019-01-29,8.5278
2019-01-28,8.5566
2019-01-25,8.7769
2019-01-24,8.4128
2019-01-23,8.3649
2019-01-22,8.2978
2019-01-18,8.6811
2019-01-17,8.7578
2019-01-16,8.6045
2019-01-15,8.3649
2019-01-14,8.5278
2019-01-11,8.5661
2019-01-10,8.5661
2019-01-09,8.1445
2019-01-08,8.202
2019-01-07,8.3745
2019-01-04,7.8858
2019-01-03,7.7229
2019-01-02,7.7134
