TSLA,MSFT,GE
310.12,99.6466,7.7134
300.36,95.9808,7.7229
317.69,100.4448,7.8858
334.96,100.5729,8.3745
335.35,101.3021,8.202
338.53,102.7507,8.1445
344.97,102.0904,8.5661
347.26,101.3021,8.5661
334.4,100.56299999999999,8.5278
344.43,103.4799,8.3649
346.05,103.8445,8.6045
347.31,104.5737,8.7578
302.26,106.1406,8.6811
298.92,104.1401,8.2978
287.59,105.1551,8.3649
291.51,104.6526,8.4128
297.04,105.6084,8.7769
296.38,103.5489,8.5566
297.46,101.4401,8.5278
308.77,104.8299,8.7194
307.02,102.9084,9.7351
312.21,101.2824,9.7639
312.89,104.1993,9.783
321.35,105.6577,10.1855
317.22,104.485,10.0321
307.51,103.7361,9.6393
305.8,104.1303,9.3997
312.84,103.7164,9.6105
311.81,105.3325,9.5626
308.17,105.2537,9.9363
303.77,105.3424,9.6201
307.88,106.6431,9.668
305.64,106.5939,9.7064
302.56,106.0397,9.6776
291.23,108.2763,9.6105
294.71,109.8201,9.7447
298.77,110.4337,10.3675
297.86,111.1957,10.627
314.74,111.0077,10.8463
319.88,110.8691,10.3578
294.79,111.36399999999999,10.2382
285.36,111.0968,10.3479
276.54,110.5426,9.8594
276.24,110.59200000000001,9.0818
276.59,109.2461,9.4207
284.14,109.3649,9.5604
290.92,111.6609,9.8798
283.36,112.4427,9.7401
288.96,113.3135,9.9995
289.96,113.4026,10.279000000000002
275.43,114.7089,9.9397
269.49,116.3517,10.1792
267.47,116.4309,10.1692
273.6,116.3023,10.1991
274.02,118.9743,10.249
264.53,115.8371,9.9596
260.42,116.4408,9.8598
267.77,116.6882,10.0794
274.83,115.56,9.9397
278.62,115.7184,9.8698
279.86,116.7179,9.9696
289.18,117.7867,10.0794
285.88,117.9549,10.2191
291.81,118.7269,10.0794
267.78,118.1232,10.0095
274.96,118.6477,9.9896
273.2,118.6873,9.4706
272.31,118.044,9.2012
276.06,118.9446,9.1413
268.42,119.0831,9.1014
267.7,119.6967,8.9816
266.38,119.7957,8.9617
273.36,119.5186,9.1213
271.23,120.5082,9.1014
273.26,122.0916,9.3309
262.75,122.4776,9.301
263.9,124.1402,9.311
258.66,123.7146,9.301
247.63,127.8117,9.1014
235.14,128.5441,9.5505
241.47,128.4253,9.7101
238.69,129.2467,10.1492
234.01,126.5549,10.0794
244.1,124.9022,10.2291
255.03,127.5643,10.4786
255.34,126.8221,10.4087
247.06,124.2194,10.0894
244.84,124.2095,10.1393
241.98,124.1996,10.0195
239.52,125.8127,10.1093
227.01,122.0718,9.8499
232.31,123.4375,10.2989
231.95,125.1758,10.2391
228.33,128.0663,10.1093
211.03,127.2121,9.9796
205.36,125.3745,9.8598
205.08,126.0499,9.9397
192.73,126.8148,9.8798
195.49,125.3348,9.5405
190.63,125.3944,9.4307
188.7,125.3149,9.3409
189.86,124.1031,9.3509
188.22,124.8878,9.4507
185.16,122.8515,9.4207
178.97,119.0372,9.5106
193.6,122.335,9.9796
196.59,124.9871,9.8698
205.95,126.9638,9.8998
204.5,130.5198,9.9596
212.88,131.7117,10.0295
217.1,131.2151,10.0993
209.26,130.6092,10.259
213.91,131.4336,10.289000000000001
214.92,131.5628,10.2091
225.03,131.9601,10.0295
224.74,134.2546,10.3987
226.43,134.781,10.3189
219.62,136.0326,10.6083
221.86,136.0525,10.4586
223.64,136.857,10.259
219.76,132.5362,10.1991
219.27,133.0328,10.249
222.84,133.2514,10.3788
223.46,133.0626,10.4887
227.17,134.7711,10.6185
224.55,135.6651,10.6085
234.9,136.5392,10.5985
233.1,136.1419,10.4887
230.34,136.0425,10.189
230.06,135.5459,10.2389
238.92,136.9266,10.189
238.6,137.4729,10.0991
245.08,137.9695,10.3588
253.5,137.9695,10.2589
252.38,136.1617,10.3688
254.86,135.3572,9.9692
253.54,135.5062,10.0491
258.18,135.7048,10.0292
255.68,137.5027,10.199
260.17,138.3569,10.6385
264.88,139.7774,10.6685
228.82,139.2509,10.4187
228.04,140.3932,10.4986
235.77,140.0853,10.3688
242.26,139.4098,10.5086
241.61,135.3572,10.4387
233.85,137.1352,10.0691
234.34,135.9829,9.9892
228.32,131.3244,9.6496
230.75,133.7877,9.5597
233.42,134.3738,9.4498
238.3,137.9596,9.4798
235.01,136.7875,9.1401
229.01,134.8804,9.0402
235.0,137.6716,9.3399
219.62,133.5257,9.0202
215.64,133.2267,8.0013
219.94,135.6684,8.7805
226.83,137.9407,8.6606
225.86,136.7946,8.371
220.83,138.3194,8.1512
222.15,137.3128,8.1812
211.4,132.9377,7.9614
215.0,134.9907,8.0413
214.08,135.2797,7.9214
215.59,135.1003,7.9314
221.71,137.6516,8.1012
225.61,137.3925,8.2411
225.01,135.5787,8.321
220.68,137.1633,8.7905
229.58,139.5751,8.8005
227.45,138.6283,8.7006
231.79,137.0537,8.9503
235.54,135.6186,9.1301
247.1,135.6584,9.3499
245.87,137.0537,9.25
245.2,136.8543,9.34
242.81,135.8677,9.38
244.79,136.9241,9.36
243.49,138.0503,9.38
246.6,140.5916,9.42
240.62,138.9672,9.37
241.23,138.6682,9.34
223.21,136.9141,8.97
228.7,138.8874,9.16
242.56,139.0668,9.02
242.13,137.263,9.04
240.87,138.5585,8.94
244.69,136.6052,8.61
243.13,134.1934,8.51
233.03,135.8179,8.71
231.43,137.6516,8.57
237.72,136.655,8.56
240.05,135.2099,8.28
244.53,137.7712,8.35
244.74,138.6283,8.45
247.89,139.2063,8.8
256.96,139.0768,8.72
257.89,141.0949,8.89
259.75,139.9339,8.9
261.97,139.2163,9.04
256.95,136.944,8.96
253.5,137.9606,8.79
255.58,135.9076,9.06
254.68,136.7746,9.14
299.68,139.4655,8.95
328.13,140.2528,9.0
327.71,143.7011,9.07
316.22,142.3457,9.07
315.01,144.1196,10.11
314.92,142.8838,9.98
